L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;vType;vWeight;[A]LONG_NAME_HUN;[A]LONG_NAME_ENG;[N]COMPANY;[N]FOREIGN;[S]KOD;[N]STATUSZ;[N]FOREIGN;[N]SAP;[S]SUBS_GROUP;[S]COUNTRY;[N]PROJECT;[S]OLD_NAME;[S]TAX_GROUP;[S]OPERATIONS
;PHOR;;;;;;;;;;;;;;N;1;MVM Partner d.o.o.;MVM Partner d.o.o.;1;1;42;1;1;;;HR;;;;
;PMAC;;;;;;;;;;;;;;N;1;MVM Partner DOOEL Skopje;MVM Partner DOOEL Skopje;1;1;;1;1;;;MK;;;;
;PSLO;;;;;;;;;;;;;;N;1;MVM Partner Energija d.o.o.;MVM Partner Energija d.o.o.;1;1;;;;;;;;;;
;PSRB;;;;;;;;;;;;;;N;1;MVM Partner Serbia d.o.o. Beograd;MVM Partner Serbia d.o.o. Beograd;1;1;43;1;1;;;RS;;;;
;AFGK;;;;;;;;;;;;;;N;1;MFGK Austria GmbH;MFGK Austria GmbH;1;1;;1;1;;;AT;;;;
;BFGK;;;;;;;;;;;;;;N;1;MVM CEEnergy Bulgaria EAD;MVM CEEnergy Bulgaria EAD;1;1;;;;;;;;;;
;CFGK;;;;;;;;;;;;;;N;1;MVM CEEnergy Croatia d.o.o.;MVM CEEnergy Croatia d.o.o.;1;1;;1;1;;;HR;;;;
;MFGK;;;;;;;;;;;;;;N;1;MVM CEEnergy Zrt.;MVM CEEnergy Zrt.;1;;92;1;;;;HU;;;;
;RFGK;;;;;;;;;;;;;;N;1;SERBHUNGAS d.o.o. Novi Sad;SERBHUNGAS d.o.o. Novi Sad;1;1;;1;1;;;RS;;;;
;SFGK;;;;;;;;;;;;;;N;1;MVM CEEnergy Slovakia s.r.o.;MVM CEEnergy Slovakia s.r.o.;1;1;;1;1;;;SK;;;;
;ZFGK;;;;;;;;;;;;;;N;1;MVM CEEnergy CZ s.r.o.;MVM CEEnergy CZ s.r.o.;1;1;;1;1;;;CZ;;;;
;POWF;;;;;;;;;;;;;;N;1;POWERFORUM Zrt.;POWERFORUM Zrt.;1;;91;1;;1;;HU;;;;
;PPOL;;;;;;;;;;;;;;N;1;MVM Trade Poland Sp. z.o.o.;MVM Trade Poland Sp. z.o.o.;1;1;;;;;;;;;;
;MVIR;;;;;;;;;;;;;;N;1;MAVIR ZRt.;MAVIR ZRt.;1;;25;1;;;;HU;;;;
;MVIT;;;;;;;;;;;;;;N;1;M-IT Services Kft.;M-IT Services Kft.;1;;;1;;;;HU;;;;
;HDEX;;;;;;;;;;;;;;N;1;HUDEX Zrt.;HUDEX Zrt.;1;;61;1;;;;HU;;;;
;DHEL;;;;;;;;;;;;;;N;1;MVM Démász Áramhálózati Kft.;MVM Démász Áramhálózati Kft.;1;;60;1;;;IVH;HU;;;;
;EGDG;;;;;;;;;;;;;;N;1;MVM Égáz-Dégáz Földgázhálózati Zrt.;MVM Égáz-Dégáz Földgázhálózati Zrt.;1;;65;1;;;IVH;HU;;;;
;EHEL;;;;;;;;;;;;;;N;1;MVM Émász Áramhálózati Kft.;MVM Émász Áramhálózati Kft.;1;;6G;1;;;IVH;HU;;;;
;FGEL;;;;;;;;;;;;;;N;1;MVM Főgáz Földgázhálózati Kft.;MVM Főgáz Földgázhálózati Kft.;1;;64;1;;;IVH;HU;;;;
;MFGT;;;;;;;;;;;;;;N;1;Magyar Földgáztároló Zrt.;Magyar Földgáztároló Zrt.;1;;93;1;;;;HU;;;;
;CGEX;;;;;;;;;;;;;;N;1;CEEGEX Zrt.;CEEGEX Zrt.;1;;97;1;;;;HU;;;;
;HDER;;;;;;;;;;;;;;N;1;HUPX Derivatív Zrt.;HUPX Derivatív Zrt.;1;;98;1;;;;HU;;;;
;HUPX;;;;;;;;;;;;;;N;1;HUPX Zrt.;HUPX Zrt.;1;;99;1;;;;HU;;;;
